PROIZVOD,SPAR_CENA,MERKATOR_CENA,TUS_CENA,NAJCENEJSI,RAZLIKA_EUR
TEKOČI JOGURT GROZDJE IN ARONIJA, EGO, 250G...,1.29,,1.33,spar,0.04
Kefir Krepki suhec bez laktoze, 3,2% m.m., Krepko, 500 g,1.98,1.99,1.75,tus,0.24
ALPSKA SMETANA ZA KUHANJE, MU CUISINE, 200ML...,1.99,1.99,,merkator,0.00
Alpska smetana za kavo, 10 % m.m., Mu Cuisine, 500 ml,3.49,2.29,,merkator,1.20
Topljeni sir za toast v lističih Jošt, President, 150 g,1.98,1.99,,spar,0.01
Napitek, naravni mlečni pinjenec, 0,5 % m.m., Pronutri, Pomurske Mleka,0.59,0.61,,spar,0.02
Sir feta, v slanici, Roussas, ZOP, pakirano, 400 g,9.78,9.78,,merkator,0.00
Trajno polnomastno Alpsko mleko, 3,5 % m.m., Ljubljanske mlekarne, 10x,1.69,16.90,1.69,spar,15.21
Naravni Lahki Tekoči Jogurt MU 1.3 % m.m. 1 L,2.29,,2.29,spar,0.00
Sir maxi mozzarella, Galbani, pakirano, 200 g,2.79,2.79,,merkator,0.00
Tolminska skuta, 5 % m.m., Planika, 1 kg,4.29,4.69,,spar,0.40
Kisla smetana, 20 % m.m., Pomurske mlekarne, 400 g,2.09,2.59,2.49,spar,0.50
Sir feta, v slanici, Roussas, ZOP, 200 g,4.88,4.99,,spar,0.11
Trajno pol posneto Alpsko mleko brez laktoze, 1,5 % m.m., Ljubljanske ,1.68,1.59,20.28,merkator,18.69
Domača prekmurska skuta, 35 % m.m., Pomurske mlekarne, 1 kg,8.49,8.79,,spar,0.30
DUNAJSKA LEDENA KAVA, POMURSKE MLEKARNE, 1L...,2.49,2.69,,spar,0.20
Slovensko čajno maslo, Pomurske mlekarne, 250 g,4.39,4.49,,spar,0.10
RASTLINSKA SMETANA HULALA, 1L,4.78,,4.79,spar,0.01
Kisla smetana, 20 % m.m., Pomurske mlekarne, 180 g,1.48,1.69,,spar,0.21
Napitek proteinski, z bregov Vindija, čokolada, 500ml,1.28,,2.59,spar,1.31
Posneto mleko v prahu, Pomurske mlekarne, 400 g,5.59,5.39,5.99,merkator,0.60
ALPSKA SMETANA ZA STEPANJE, MU CUISINE, 0,5L...,4.29,3.49,3.59,merkator,0.80
Rezine sira Dimar, Zelene Doline, pakirano, 150 g,3.38,3.39,,spar,0.01
SIR BRITISH CHEDDAR VINTAGE, PRESIDENT, 200G...,3.99,3.99,,merkator,0.00
Poltrdi sir Dimar, Zelene Doline, pakirano, 300 g,6.28,6.59,,spar,0.31
INSTANT KAVA SLIM&FIT, BARCAFFE, 10/1, 125G...,3.99,4.29,4.19,spar,0.30
Sojin desert, čokolada, Alpro, 4 x 125 g,3.19,3.19,3.19,merkator,0.00
INSTANT NAPITEK CLASSIC, BARCAFFE FREEZE, 160G...,3.79,,3.89,spar,0.10
Jogurt, breskev in lipov cvet, Ego, 150 g,0.78,0.79,,spar,0.01
Mlečna rezina Kinder Choco Fresh, Ferrero, 41 g,1.18,1.19,1.19,spar,0.01
Sirni namaz Light, Philadelphia, 175 g,3.18,3.19,,spar,0.01
Jogurt, med in matični mleček, Ego, 150 g,0.78,0.79,0.79,spar,0.01
Bio kefir Krepki suhec, malina in rdeča pesa, 1,5% m.m., Krepko 250g,1.38,1.39,,spar,0.01
Rezine sira Mozzarella, Zanetti, pakirano, 120 g,2.79,2.79,,merkator,0.00
GRŠKI TIP JOGURTA MYTHOS, ZELENE DOLINE, 400G...,1.59,1.59,,merkator,0.00
GRŠKI TIP JOGURTA NARAVNI, MU ATHENTIKOS, 430G...,2.55,2.59,,spar,0.04
MLADI KAJMAK 43% M.M., ZELENE DOLINE, 150G...,3.19,3.29,,spar,0.10
Grški tip jogurta, pistacija in mandelj, Dukatos, 150 g,1.19,1.19,,merkator,0.00
Trdi sir Grana Padano, Galbani, ZOP, pakirano, 60 g,2.19,2.19,,merkator,0.00
Gorgonzola, Cremoso, Galbani, ZOP, pakirano, 150 g,3.49,3.49,,merkator,0.00
Sir parmezan, ovčji, Pecorino Romano, Zanetti, ZOP, pakirano, 200 g,6.78,6.79,,spar,0.01
NEPASIRANA SKUTA LAHKA, MU CUISINE, 250G,2.69,2.69,,merkator,0.00
Kefir Krepki suhec, 1,5 % m.m., Krepko, 750 g,2.74,2.79,,spar,0.05
GRŠKI TIP JOGURTA DUKATOS, DUKAT, 450G,3.09,3.09,,merkator,0.00
Skuta Obstgarten, jagoda, borovnica, češnja, gozdni sadeži, 125g,0.99,,0.99,spar,0.00
DUNAJSKA LEDENA KAVA, POMURSKE MLEKARNE, 250ML...,0.96,0.99,,spar,0.03
Rastlinski pripravek ribani, okus parmezana, 100g,1.34,,2.69,spar,1.35
Sadni jogurt borovnica, 2,5 % m.m., Zelene Doline, 250 g,0.89,0.89,,merkator,0.00
Surovo ljutomersko maslo, Pomurske mlekarne, 125 g,2.76,3.19,,spar,0.43
DESERT ČOKOLADNI MOUSSE DOLCE, DUKAT, 100G...,1.28,1.29,,spar,0.01
JOGURTOV NAPITEK JAGODA ACTIMEL, DANONE, 6X100G...,3.29,4.69,,spar,1.40
Trajno polnomastno Alpsko mleko, 3,5 % m.m., Ljubljanske mlekarne, 0,5,1.09,1.09,1.09,merkator,0.00
JOGURT MALINA ACTIVIA ZERO, DANONE, 4X115G...,2.79,2.79,,merkator,0.00
SIR TILZIT 45% M.M., REZINE, VINDIJA, 150G...,2.47,2.59,,spar,0.12
Hrana za morske praašičke, menu vital, 1kg,8.13,,5.99,tus,2.14
Sveže vlečeno testo, Pečjak, 500 g,3.27,3.29,,spar,0.02
