name,price,sale_price,store,date
"4 BARVE ZA PEKO IN JEDILA, 4X20 G",5.58,,Spar,2026-01-02 00:00:00
"4 V VRSTO, KOŠARKA, FUNVILLE",15,,Spar,2026-01-02 00:00:00
"4-DELNI SET KUHINJSKIH POSOD WMF, 4/1",53.9,,Spar,2026-01-02 00:00:00
"4-DELNI SET POSODE FUNCTION, WMF, 8/1",549,,Spar,2026-01-02 00:00:00
"48 DEO, ANTIPERSPIRANT ROLL ON S PROBIOTIKI CLEAR, 50 ML",3.89,,Spar,2026-01-02 00:00:00
"48 DEO, ANTIPERSPIRANT ROLL ON S PROBIOTIKI FRESH, 50 ML",3.89,,Spar,2026-01-02 00:00:00
"48 DEO, DEODORANT ROLL ON S PROBIOTIKI SENSITIVE, 50 ML",3.89,,Spar,2026-01-02 00:00:00
"4MOVE VITAMINSKA VODA B-FORMULA, 556ML",1.54,,Spar,2026-01-02 00:00:00
"4MOVE VITAMINSKA VODA MAGNESIUM +B6, 556ML",1.54,,Spar,2026-01-02 00:00:00
67-DELNI SET OKRASKOV,1,,Spar,2026-01-02 00:00:00
9-DELNI SET KROGLIC,2.49,,Spar,2026-01-02 00:00:00
"ABC JUHA, MAGGI, 44G",1.38,,Spar,2026-01-02 00:00:00
aberlour-abunadh-alk609-vol-07-l,68.49,,Tus,2026-01-02 00:00:00
"ABRAZIVNO ČISTILO LIMONA, CIF, 500ML",2.39,,Spar,2026-01-02 00:00:00
"ABRAZIVNO ČISTILO ORIGINAL, CIF, 500ML",2.39,,Spar,2026-01-02 00:00:00
"ABRAZIVNO ČISTILO PINK, CIF, 500ML",2.39,,Spar,2026-01-02 00:00:00
"ABSORBCIJSKO JAJCE ZA HLADILNIK LIMONA, MR. MAGIC",3.28,,Spar,2026-01-02 00:00:00
actimel-kids-minioni-jagoda-banana-10x100g,4.69,,Tus,2026-01-02 00:00:00
"ADVENTNI KOLADAR ČOKOLADNI PAW PATROL, MILLANO, 75G",3.49,,Spar,2026-01-02 00:00:00
"ADVENTNI KOLEDAR CHUPA CHUPS, 210G",5.99,,Spar,2026-01-02 00:00:00
"ADVENTNI KOLEDAR ČOKOLADNI, KINDER, 203G",4.49,,Spar,2026-01-02 00:00:00
"ADVENTNI KOLEDAR ČOKOLADNI, MILKA, 200G",5.75,,Spar,2026-01-02 00:00:00
"ADVENTNI KOLEDAR KINDER, FERRERO, 24/1, 152G",3.99,,Spar,2026-01-02 00:00:00
